Memory Size (bytes),Time Oth (ms),Time 1st (ms),Time 2st(ms),Time 3rd(ms),Time 4th(ms),Time 5th(ms),Time 6th(ms),Time 7th (ms)
4 KB,0.000003,0.000002,0.000003,0.000002,0.000004,0.000009,0.000022,0.000003
8 KB,0.000002,0.000005,0.000003,0.000003,0.000009,0.000003,0.000005,0.000003
16 KB,0.000003,0.000003,0.000005,0.000006,0.000007,0.000006,0.000004,0.000006
32 KB,0.000008,0.000008,0.000008,0.000007,0.000007,0.000007,0.000041,0.00001
64 KB,0.000015,0.000011,0.000018,0.000023,0.000013,0.000019,0.000073,0.000018
128 KB,0.000022,0.000027,0.00003,0.000027,0.000026,0.000043,0.000039,0.000039
256 KB,0.000075,0.00025,0.000031,0.000073,0.000147,0.000051,0.00009,0.000182
512 KB,0.000092,0.00008,0.00012,0.00011,0.000114,0.000147,0.00021,0.000156
1 MB,0.000617,0.000204,0.000297,0.00072,0.000227,0.000578,0.000542,0.000869
2 MB,0.001362,0.000403,0.000552,0.000645,0.000447,0.000586,0.000628,0.000637
4 MB,0.000829,0.001242,0.000965,0.000904,0.00098,0.00147,0.002809,0.001669
8 MB,0.001797,0.001712,0.002315,0.001455,0.001498,0.001564,0.001943,0.001937
16 MB,0.002818,0.00382,0.002943,0.003209,0.003349,0.00359,0.004541,0.004166
32 MB,0.005526,0.007094,0.006495,0.006562,0.006848,0.007508,0.008942,0.008682
64 MB,0.012125,0.013021,0.014869,0.013571,0.013607,0.014356,0.016322,0.017611
128 MB,0.023414,0.027254,0.02794,0.027128,0.027419,0.029731,0.030697,0.033579
256 MB,0.04778,0.056353,0.053573,0.053924,0.051254,0.058494,0.060218,0.069374
512 MB,0.101339,0.110546,0.107909,0.10123,0.10578,0.106352,0.282296,0.139242
1 GB,0.201729,0.216635,0.224508,0.229093,0.223033,0.23953,0.257646,0.263156
