Memory Size (bytes),Time Oth (ms),Time 1st (ms),Time 2st(ms),Time 3rd(ms),Time 4th(ms),Time 5th(ms),Time 6th(ms),Time 7th (ms)
4 KB,0.000002,0.000011,0.000007,0.000004,0.000004,0.000003,0.000003,0.000003
8 KB,0.000003,0.000003,0.000003,0.000003,0.000005,0.000006,0.000003,0.000003
16 KB,0.000007,0.000004,0.000003,0.000006,0.000004,0.000004,0.000004,0.000004
32 KB,0.000027,0.000008,0.000007,0.000005,0.000005,0.000005,0.000005,0.000005
64 KB,0.000023,0.000015,0.000012,0.000011,0.000011,0.00001,0.000015,0.000009
128 KB,0.000045,0.000029,0.000023,0.000025,0.00002,0.000025,0.000015,0.00007
256 KB,0.000076,0.000057,0.000059,0.000041,0.000044,0.000033,0.000029,0.00004
512 KB,0.000177,0.000106,0.000103,0.000079,0.000435,0.00007,0.000058,0.00013
1 MB,0.000329,0.000218,0.000614,0.000149,0.000157,0.000124,0.000158,0.000123
2 MB,0.000737,0.000514,0.000378,0.000367,0.000344,0.00033,0.000308,0.000249
4 MB,0.00152,0.001027,0.000793,0.000723,0.000643,0.000628,0.000595,0.000613
8 MB,0.002985,0.002409,0.001757,0.001499,0.001794,0.001531,0.001984,0.00147
16 MB,0.006439,0.004798,0.004528,0.003772,0.003233,0.003375,0.003141,0.003038
32 MB,0.012946,0.011462,0.009428,0.007415,0.008007,0.007515,0.006432,0.006421
64 MB,0.026062,0.020568,0.016315,0.01462,0.015568,0.015522,0.014172,0.014311
128 MB,0.053053,0.039161,0.031948,0.027985,0.025704,0.028334,0.024643,0.024636
256 MB,0.103659,0.074672,0.060729,0.059462,0.053836,0.05088,0.050314,0.046777
512 MB,0.179134,0.166949,0.116327,0.104216,0.103841,0.087895,0.086072,0.090279
1 GB,0.369238,0.305364,0.238019,0.203954,0.184742,0.167316,0.164622,0.177732
