Memory Size (bytes),Time Oth (ms),Time 1st (ms),Time 2st(ms),Time 3rd(ms),Time 4th(ms),Time 5th(ms),Time 6th(ms),Time 7th (ms),,
4 KB,0.000001,0.000002,0.000002,0.000004,0.000004,0.000003,0.000003,0.000003,,
8 KB,0.000002,0.000001,0.000003,0.000004,0.000003,0.000004,0.000038,0.000004,,
16 KB,0.000005,0.000006,0.000002,0.000008,0.000006,0.000007,0.000003,0.000007,,
32 KB,0.000012,0.000043,0.000003,0.000002,0.000007,0.000003,0.000005,0.000005,,
64 KB,0.000016,0.000015,0.000006,0.000007,0.000005,0.000005,0.000009,0.000018,,
128 KB,0.000067,0.00003,0.000064,0.000012,0.00002,0.000008,0.000011,0.000014,,
256 KB,0.000221,0.000074,0.000031,0.000058,0.000022,0.000032,0.00002,0.000025,,
512 KB,0.000138,0.000116,0.000075,0.000101,0.000085,0.000043,0.000029,0.000043,,
1 MB,0.000357,0.000318,0.000129,0.00012,0.000174,0.00012,0.000087,0.00013,,
2 MB,0.001512,0.00074,0.000558,0.000558,0.000782,0.001371,0.000397,0.000689,,
4 MB,0.001685,0.001426,0.000943,0.000799,0.000573,0.000689,0.00048,0.000818,,
8 MB,0.002662,0.002634,0.002119,0.001247,0.001272,0.001351,0.001541,0.001235,,
16 MB,0.007135,0.005195,0.003749,0.003299,0.003047,0.002889,0.003711,0.002936,,
32 MB,0.012439,0.010129,0.007631,0.007628,0.006025,0.005776,0.006071,0.005181,,
64 MB,0.024438,0.020502,0.019992,0.014147,0.013484,0.012252,0.013293,0.013247,,
128 MB,0.054428,0.039467,0.034024,0.027341,0.028488,0.026072,0.028008,0.025534,,
256 MB,0.098279,0.086395,0.062808,0.059179,0.050471,0.043531,0.048048,0.047882,,
512 MB,0.176617,0.14867,0.119006,0.10373,0.099066,0.09512,0.090159,0.088246,,
1 GB,0.352392,0.298401,0.217851,0.195929,0.181915,0.166992,0.169414,0.176955,,
